Sr_No,Customer_Name,Overview,Geographical_Presence,Product_Offering,Industry_Vertical,Cloud_Platforms,License_Ecosystem,Optimization_Type,Pain_Points,Trigger_Event,Key_Stakeholders,Cloud_Optimization_Potential,ELO_Optimization_Potential,Total_Optimization_Potential,Decision_Maker,Phone,Fax,Email,Website,Annual_IT_Spend_M,Current_Cloud_Spend_M,Current_License_Spend_M,Potential_Cloud_Savings_M,Potential_License_Savings_M,Total_Potential_Savings_M,Number_of_Employees,IT_Team_Size,Number_of_VMs,Physical_Servers,Number_of_Databases,Number_of_Applications,Microsoft_Licenses,SAP_Licenses,Oracle_Licenses,Azure_VMs,Azure_Storage_TB,Azure_Monthly_Spend_K,AWS_EC2_Instances,AWS_S3_Storage_TB,AWS_Monthly_Spend_K,GCP_VMs,GCP_Storage_TB,GCP_Monthly_Spend_K,Implementation_Cost_K,Monthly_Savings_K,ROI_Payback_Months,Last_Contact_Days_Ago,Engagement_Score
1,Enterprise Customer 1,Major U.S. airline with global operations and extensive IT infrastructure,"HQ: Atlanta, GA; operates across Southeast U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP ERP, Oracle Database",Both (Cloud FinOps + ELO),Managing massive data/analytics workloads and modernizing ERP; Need cost control & governance at scale,SAP HANA migration and scale-up on Azure,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",27,18,45,CIO,+1-200-100-1000,+1 (713) 516-8956,contact@deltaairlines.com,www.deltaairlines.com,296,63.38,82.94,17.11,14.93,32.04,20370,508,517,449,155,1031,9673,3565,2903,0,0,0.0,1696,451,5281.7,0,0,0.0,192,2670.0,0.1,170,8
2,Enterprise Customer 2,Logistics and transportation company with global delivery network,"HQ: Memphis, TN; operates across South Central U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,Multi-cloud (AWS + GCP),"Microsoft 365, SAP HANA, Power Platform",Cloud FinOps,Oracle license audit risk; need comprehensive asset management and compliance tracking,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",25,0,25,VP Digital,+1-207-113-1017,+1 (914) 581-6700,contact@fedexcorporation.com,www.fedexcorporation.com,259,64.75,86.51,16.19,0.0,16.19,47159,1409,4558,345,225,1226,7404,7551,1492,0,0,0.0,844,179,5395.8,431,89,5395.8,298,1349.2,0.2,104,9
3,Enterprise Customer 3,"Major independent Coca-Cola bottler handling beverage production, sales, marketing & distribution","HQ: Birmingham, AL; operates across Southeast U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Enterprise operations,Microsoft Azure,"Microsoft 365, SAP ERP, Oracle Database",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,SAP-to-Azure migration; adoption of SAP IBP & Azure ML/IoT in smart factories,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",26,14,40,VP Cloud Platforms,+1-214-126-1034,+1 (205) 130-2535,contact@coca-colabottlingcom.com,www.coca-colabottlingcom.com,161,35.39,51.59,9.2,7.22,16.42,57124,2369,4964,479,132,1019,43618,9215,156,1754,462,2949.2,0,0,0.0,0,0,0.0,90,1368.3,0.1,179,7
4,Enterprise Customer 4,U.S. manufacturer of tooling and industrial materials; operates smart factories,"HQ: Pittsburgh, PA; operates across Northeast U.S.","Manufacturing operations, smart factory systems, supply chain, ERP systems",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, SAP HANA, Power Platform",Enterprise License Optimization (ELO),Multi-cloud cost optimization and license compliance across distributed systems,Strategic Azure partnership to migrate data estate and SAP; Azure ML deployment in U.S. markets,"CIO, VP Cloud Platforms, Head of SAM/Procurement, Finance IT Director",0,18,18,VP IT Operations,+1-221-139-1051,+1 (479) 758-8517,contact@kennametalinc.com,www.kennametalinc.com,123,28.22,30.67,0.0,5.52,5.52,146289,4078,4009,647,224,841,62493,9165,16746,0,0,0.0,1210,96,2351.7,0,0,0.0,243,460.0,0.5,13,2
5,Enterprise Customer 5,Coffeehouse chain with global presence and digital transformation initiatives,"HQ: Seattle, WA; operates across Pacific Northwest U.S.","Manufacturing, distribution, supply chain management, retail execution, data & analytics",Enterprise operations,Multi-cloud (Azure + AWS),"Microsoft, SAP, IBM Mainframe",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Recent Oracle audit notice triggering compliance review and optimization initiative,"CIO, VP Enterprise Apps, Head of Manufacturing IT/OT, SAM Lead",22,17,39,VP Digital,+1-228-152-1068,+1 (732) 195-4848,contact@starbuckscorporation.com,www.starbuckscorporation.com,394,95.79,142.36,21.07,24.2,45.27,43627,904,2505,536,57,1032,32160,10418,3235,1671,406,7982.5,986,303,7982.5,0,0,0.0,152,3772.5,0.0,63,3
6,Enterprise Customer 6,Logistics and transportation company with global delivery network,"HQ: Memphis, TN; operates across South Central U.S.","Enterprise operations, digital transformation, IT infrastructure, analytics",Enterprise operations,Multi-cloud (AWS + GCP),"Microsoft 365, SAP HANA, Power Platform",Cloud FinOps,Oracle license audit risk; need comprehensive asset management and compliance tracking,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, VP Digital/IT, Head of Cloud Transformation, Global Procurement (IT)",25,0,25,VP Digital,+1-235-165-1085,+1 (914) 581-6700,contact@fedexcorporation.com,www.fedexcorporation.com,259,64.75,86.51,16.19,0.0,16.19,47159,1409,4558,345,225,1226,7404,7551,1492,0,0,0.0,844,179,5395.8,431,89,5395.8,298,1349.2,0.2,104,9
7,Enterprise Customer 7,Multinational investment bank and financial services company,"HQ: Charlotte, NC; operates across Southeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Enterprise License Optimization (ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",0,15,15,CIO,+1-242-178-1102,+1 (313) 614-9701,contact@bankofamerica.com,www.bankofamerica.com,130,21.72,39.2,0.0,5.88,5.88,53712,1184,1056,741,140,926,12856,15527,9383,0,0,0.0,704,346,1810.0,0,0,0.0,202,490.0,0.4,11,10
8,Enterprise Customer 8,Semiconductor chip manufacturer with global operations,"HQ: Santa Clara, CA; operates across West Coast U.S.","Product development, cloud services, R&D systems, enterprise platforms",Enterprise operations,Microsoft Azure,"Oracle Cloud, SAP, Microsoft",Both (Cloud FinOps + ELO),SAP licensing complexity during cloud transformation; need visibility into actual usage vs. entitlements,Microsoft EA renewal approaching; opportunity to rightsize M365 and Azure subscriptions,"CIO, IT Infrastructure Lead, Data & Analytics Director, Finance Transformation Manager",16,11,27,CIO,+1-249-191-1119,+1 (914) 354-2940,contact@intelcorporation.com,www.intelcorporation.com,335,127.08,107.62,20.33,11.84,32.17,64162,2776,3616,511,246,708,61371,14151,5053,1364,367,10590.0,0,0,0.0,0,0,0.0,65,2680.8,0.0,157,2
9,Enterprise Customer 9,Healthcare company with retail pharmacy and healthcare services,"HQ: Woonsocket, RI; operates across Northeast U.S.","Healthcare services, pharmaceutical R&D, medical devices, patient systems",Enterprise operations,Microsoft Azure,"Microsoft 365, SAP HANA, Power Platform",Both (Cloud FinOps + ELO),Modernizing legacy ERP/network; Need agility/visibility for global manufacturing and planning,Strategic Azure migration with Accenture/Avanade; cloud-first operating model,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",27,16,43,VP Infrastructure,+1-256-204-1136,+1 (914) 567-3184,contact@cvshealth.com,www.cvshealth.com,460,133.12,140.86,35.94,22.54,58.48,88177,4276,4125,677,278,973,76810,14711,5265,1723,491,11093.3,0,0,0.0,0,0,0.0,171,4873.3,0.0,116,5
10,Enterprise Customer 10,Multinational investment bank and financial services company,"HQ: Charlotte, NC; operates across Southeast U.S.","Financial services, trading platforms, risk management, customer banking systems",Enterprise operations,AWS (Amazon Web Services),"Microsoft 365, Oracle E-Business Suite, IBM WebSphere",Enterprise License Optimization (ELO),"Need for scalable, cost-efficient infrastructure for high-volume SAP and automation at scale",SAP S/4HANA migration project kickoff; re-evaluating license requirements,"CFO, VP IT Operations, Enterprise Architect, Procurement Director",0,15,15,CIO,+1-263-217-1153,+1 (313) 614-9701,contact@bankofamerica.com,www.bankofamerica.com,130,21.72,39.2,0.0,5.88,5.88,53712,1184,1056,741,140,926,12856,15527,9383,0,0,0.0,704,346,1810.0,0,0,0.0,202,490.0,0.4,11,10
